,x0,y0,size : 0,x1,y1,size : 1,x2,y2,size : 2,x3,y3,size : 3,x4,y4,size : 4,x5,y5,size : 5
193,1573.0,374.0,,1630.5,555.5,,1138.5,234.5,,1073.5,93.5,,618.0,227.0,,1259.0,661.0,
194,1572.5,373.5,,1629.5,555.5,,1138.5,233.0,,1072.5,93.5,,618.0,228.0,,1259.0,661.5,
195,1573.5,373.5,,1629.5,555.5,,1139.5,232.5,,1072.5,94.5,,617.5,227.5,,1259.0,662.0,
196,1574.5,373.5,,1628.5,555.5,,1139.5,231.5,,1072.5,93.5,,616.5,227.5,,1258.0,661.5,
197,1574.0,374.0,,1627.5,555.5,,1139.5,231.5,,1072.5,94.5,,615.5,227.5,,1259.0,662.0,
198,1574.0,374.0,,1627.5,556.5,,1139.5,230.0,,1071.5,94.5,,615.5,227.5,,1259.0,663.5,
199,1573.0,374.0,,1628.0,557.0,,1137.5,229.0,,1070.5,94.5,,615.5,227.5,,1260.0,664.0,
200,1573.0,374.5,,1628.0,556.0,,1138.5,228.5,,1069.5,94.5,,616.5,227.5,,1260.0,665.0,
201,1572.0,374.5,,1628.0,556.0,,1139.5,230.0,,1069.5,94.5,,616.5,227.5,,1260.5,665.0,
202,1573.0,374.0,,1629.0,555.0,,1139.5,230.5,,1069.5,93.5,,616.5,228.0,,1260.0,666.0,
203,1573.0,373.5,,1629.0,554.0,,1140.5,231.5,,1069.5,93.5,,617.5,227.5,,1260.0,666.5,
204,1574.0,373.5,,1629.0,553.0,,1140.5,232.5,,1069.5,94.5,,617.5,227.5,,1261.0,666.0,
205,1573.5,373.0,,1629.5,553.5,,1139.5,232.5,,1069.5,94.5,,617.5,227.5,,1261.0,665.5,
206,1574.0,373.0,,1630.5,553.5,,1140.5,233.5,,1070.5,94.5,,617.5,227.5,,1260.0,665.5,
207,1574.0,373.0,,1630.5,554.5,,1140.5,234.5,,1070.5,94.5,,617.5,228.0,,1260.0,665.0,
208,1574.0,373.0,,1628.5,554.5,,1139.5,234.0,,1070.5,94.5,,617.5,228.5,,1260.0,666.5,
209,1574.5,374.0,,1628.5,555.5,,1140.5,235.5,,1070.5,95.5,,617.0,229.0,,1260.0,667.0,
210,1573.0,373.0,,1628.5,555.5,,1139.5,237.5,,1071.5,95.5,,617.0,229.5,,1261.0,667.0,
211,1573.0,374.0,,1628.5,555.5,,1140.5,236.5,,1070.5,95.5,,616.5,228.5,,1261.0,666.5,
212,1573.0,374.0,,1628.5,555.5,,1140.5,237.0,,1071.5,96.5,,616.0,230.0,,1261.0,666.0,
213,1572.5,373.5,,1629.5,555.5,,1141.5,237.5,,1071.5,95.5,,616.5,229.0,,1261.0,666.0,
214,1572.0,373.0,,1629.5,554.5,,1141.5,236.5,,1070.5,96.5,,616.5,229.5,,1261.0,667.0,
215,1573.0,374.0,,1628.5,554.5,,1140.5,236.5,,1071.5,96.5,,616.0,229.0,,1260.5,667.5,
216,1573.0,373.5,,1628.0,555.0,,1140.5,237.5,,1071.0,97.0,,615.0,229.0,,1262.0,668.0,
217,1573.0,374.0,,1628.5,554.5,,1141.5,238.0,,1071.0,96.0,,615.0,229.0,,1262.0,667.5,
218,1572.0,374.0,,1629.5,555.5,,1142.5,238.0,,1071.5,96.5,,615.0,228.5,,1262.0,666.5,
219,1572.0,374.5,,1630.5,555.5,,1142.5,237.5,,1070.5,97.5,,614.0,229.5,,1262.5,668.0,
220,1572.5,375.0,,1630.5,555.5,,1144.5,236.5,,1070.5,96.5,,613.5,229.0,,1261.0,667.0,
221,1573.0,374.0,,1631.0,556.0,,1145.5,236.5,,1069.5,96.5,,613.5,228.0,,1262.0,666.5,
222,1572.0,374.0,,1631.5,554.5,,1145.5,237.5,,1070.5,96.5,,614.0,228.0,,1261.5,666.5,
