Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
331,636,371,932,641,1348,701,1217,390,1821,1038,1161,772,990,836
332,635,370,931,641,1349,700,1218,391,1821,1039,1161,772,991,835
333,635,372,932,642,1348,700,1219,391,1821,1038,1162,773,992,837
334,633,370,932,641,1349,700,1220,392,1821,1038,1160,772,992,836
335,633,371,932,642,1349,700,1219,390,1820,1038,1160,772,992,837
336,633,371,931,643,1349,699,1220,390,1819,1038,1160,772,992,837
337,632,371,931,641,1348,699,1221,391,1819,1037,1160,773,992,836
338,633,372,930,642,1348,700,1221,391,1819,1038,1159,773,992,837
339,633,373,931,641,1348,698,1221,392,1818,1037,1161,774,991,837
340,633,372,933,641,1347,700,1221,391,1819,1037,1160,775,991,837
341,633,372,932,643,1347,700,1222,392,1818,1037,1159,776,991,836
342,633,372,932,642,1347,700,1222,390,1817,1037,1158,777,990,836
343,634,371,932,642,1347,701,1222,390,1818,1038,1157,777,990,836
344,634,371,931,643,1346,701,1219,390,1818,1038,1158,777,990,835
345,633,371,931,643,1346,700,1220,391,1817,1038,1158,776,990,835
346,633,372,931,643,1346,701,1221,391,1817,1038,1159,778,991,835
347,634,371,930,642,1345,701,1222,390,1816,1037,1159,776,991,835
348,634,371,930,643,1346,702,1220,390,1817,1037,1159,776,992,834
349,634,371,932,643,1345,703,1219,390,1815,1037,1160,776,991,834
350,634,371,931,644,1347,702,1219,390,1817,1036,1160,775,991,834
351,634,371,932,644,1346,704,1219,391,1816,1036,1161,775,992,836
352,633,371,932,643,1346,703,1220,391,1817,1036,1160,774,991,834
353,634,372,933,642,1345,703,1217,390,1818,1036,1159,774,991,835
354,635,372,933,641,1345,701,1218,391,1818,1036,1160,773,992,836
355,634,371,935,640,1345,701,1217,391,1818,1038,1160,774,992,836
356,634,372,934,640,1346,702,1218,392,1820,1036,1158,774,991,836
357,634,372,934,641,1347,703,1219,391,1820,1038,1157,773,992,835
358,633,373,935,642,1348,703,1218,391,1820,1037,1158,774,994,834
359,633,374,936,641,1347,704,1219,393,1821,1037,1157,775,992,834
360,633,373,936,641,1347,705,1219,391,1819,1037,1157,773,993,836
361,634,373,936,641,1347,707,1219,391,1819,1037,1156,774,995,836
362,632,374,937,641,1348,707,1219,391,1818,1037,1156,774,994,836
363,633,373,937,640,1346,708,1220,392,1818,1038,1157,774,994,837
364,631,374,937,641,1348,710,1219,392,1817,1038,1157,774,994,836
365,633,373,937,640,1347,711,1219,391,1817,1040,1155,774,994,837
366,631,373,938,641,1347,710,1219,390,1816,1040,1157,773,993,837
367,632,373,938,641,1346,710,1219,391,1817,1039,1157,774,994,837
368,631,373,939,641,1345,710,1218,390,1816,1040,1158,775,993,837
369,632,373,939,641,1346,710,1219,390,1817,1040,1159,774,993,837
370,632,372,938,641,1345,710,1218,390,1817,1041,1158,774,992,837
371,632,373,939,642,1344,710,1219,391,1817,1041,1158,774,991,836
372,632,373,939,642,1344,709,1219,390,1817,1041,1159,774,991,835
373,632,373,937,642,1345,710,1219,389,1819,1041,1159,775,992,834
374,632,373,939,642,1343,710,1220,389,1820,1041,1160,774,991,834
375,633,372,939,642,1342,709,1221,389,1819,1040,1161,773,992,835
376,632,373,938,643,1342,708,1219,388,1819,1039,1160,773,992,835
377,632,373,938,644,1342,709,1219,388,1819,1039,1161,773,991,837
378,632,374,937,643,1342,708,1219,389,1819,1038,1162,773,991,835
379,631,374,938,643,1343,709,1220,389,1818,1039,1162,773,991,835
380,632,372,937,643,1342,708,1219,390,1820,1038,1161,773,992,835
381,632,373,938,644,1341,708,1219,390,1819,1039,1161,771,991,833
382,631,373,938,644,1341,710,1218,391,1819,1040,1161,773,990,834
383,632,374,938,645,1342,709,1219,391,1819,1039,1161,773,989,832
384,630,373,938,645,1342,710,1219,390,1819,1039,1160,773,990,831
385,630,374,936,645,1342,708,1218,391,1818,1042,1161,772,990,832
